File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\Missing2_1553735401.html,199,198,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\Missing2_1553736713.html,199,198,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\Success1_1553707378.html,110,105,0,0,5,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\Success1_1553707467.html,107,106,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\Success1_1553707975.html,107,106,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\Success1_1553712862.html,107,106,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\Success1_1553713526.html,107,106,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\Success1_1553733738.html,107,106,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\Success1_1553736713.html,107,106,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\Success1_1553738805.html,107,106,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\verloren-fl-hond_1553712862.html,152,150,1,0,1,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\verloren-fl-hond_1553733738.html,154,152,1,0,1,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\verloren-fl-hond_1553734525.html,154,152,1,0,1,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\verloren-fl-hond_1553736713.html,154,152,1,0,1,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\verloren-fl-kat_1553711642.html,203,201,1,0,1,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\verloren-fl-kat_1553712862.html,137,135,1,0,1,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\verloren-fl-kat_1553713528.html,137,135,1,0,1,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\verloren-fl-kat_1553715506.html,137,135,1,0,1,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\verloren-fl-kat_1553733738.html,137,135,1,0,1,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\verloren-fl-kat_1553734525.html,137,135,1,0,1,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\verloren-fl-kat_1553736713.html,137,135,1,0,1,0,1,1,0,0
